Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources
jkhSo9zJMR2iK1W15rQojMDnZjNovMw2VuNAooTJPyZ3eRVvcq7EWKhfmQvc4BtYMJDFk7u5T4pJewuus2p68KU,1744409684,2025-04-11T22:14:44.000Z,AGG TOKEN SWAP,GsMK75vE3TxSH6GitYUUEYaiwVoJvCf44U1ofANZqwun,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,25724495985,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,1112418113400,6,25724.5,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe|CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
4YkRGjLrTs1fSx2Gu9vCZj2T5hLW7Jgc9h8nFYmioxKCq1S5r9bxXqmT6Ff5TsH4J5bRVgxFmbNCoHtRj2VmZAFN,1744408455,2025-04-11T21:54:15.000Z,AGG TOKEN SWAP,7KMMYJxm7wHQAXqJU4RJ3qwVB6U7Rt7jGcBCTSLKpbzW,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,14985000000,6,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,673237127608,6,14985,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo
5dEcksWNkVhmatiNfQtNmRYmWBqTrn3w4XhD3hvXPEUbzsvMdPb6gbkejacX1eJmTDbK7HceXSeWgVLUmjYFm7er,1744143604,2025-04-08T20:20:04.000Z,AGG TOKEN SWAP,6LBXQCNJQpmCb6e9menLattbJ6xYAqzwqgjN14QZ4bX7,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,714015077169,6,So11111111111111111111111111111111111111112,123235171118,9,12844.8,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc
5aEkSBqm1BhRvsgN8QT8dStiHLQyYLccMnngaRNmxApLPiYnskeyRuxrkriNdDMMX3bffMhCamxVjw2rU57HsV9t,1744141066,2025-04-08T19:37:46.000Z,AGG TOKEN SWAP,6LBXQCNJQpmCb6e9menLattbJ6xYAqzwqgjN14QZ4bX7,So11111111111111111111111111111111111111112,127853789053,9,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,714015077169,6,13392.68,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc
5ktFxr7mercN9AwLjdpEF314UC3hE7GutqqUy2YacNgnapoeVegttF8yE86TjbjBK13yR9Du9HhF1ayRbqp4uXAH,1744031411,2025-04-07T13:10:11.000Z,AGG TOKEN SWAP,HTJg13ndX3zn8Mw46cMwYBuDpa3ywsfkTjQ79K1Rnb6w,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,1000000000000,6,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,782124106318,6,17934.28,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
3wNB1WzhfzS3d6WETQz33cwKf2885G5RBKQmZQEonZxJ9cmhkHFRo62kP1EMJdZpVK9br48ebPqYLqszvoWWvZQV,1744029928,2025-04-07T12:45:28.000Z,AGG TOKEN SWAP,HTJg13ndX3zn8Mw46cMwYBuDpa3ywsfkTjQ79K1Rnb6w,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,1000000000000,6,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,793776272480,6,18234.28,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
4DXP964vRVQSD6YEPQycsuDVhZxDrbvpXbnG1oSSMKTjog4opa9gxbNpEhNdzrttkfSCuHAf7nrs8pi2r5j1cZdi,1744007432,2025-04-07T06:30:32.000Z,TOKEN SWAP,HzGF4eULJkW85xuhbanArjAQW2nxg1GbeFR1Xe6sHLXk,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,622887413149,6,So11111111111111111111111111111111111111112,110836521231,9,11064.81,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
a3zgD3jfpnQ4ZTviUKCpahaTGrPBhCwBtDtLXaRjPG6fvXvwsYg7GppMcG4QmEnrKrKJuwhwSngmte4fZTaVZHr,1744007382,2025-04-07T06:29:42.000Z,TOKEN SWAP,HzGF4eULJkW85xuhbanArjAQW2nxg1GbeFR1Xe6sHLXk,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,622887413148,6,So11111111111111111111111111111111111111112,111341806360,9,11115.25,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
r4wucfBQuUwvj2Y5sfMLy8PAdkczvhZ4VBa2cYjozsj8C6wiGJZkVbNPpZ9rsTrdgP9nGVGbaoYWxo9yjzKJ679,1743568878,2025-04-02T04:41:18.000Z,AGG TOKEN SWAP,6hntH6csHfshSZ4tUHVPJN4eUR7XzeTrqYqup3MqBwgP,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,456943178785,6,So11111111111111111111111111111111111111112,94993833751,9,11835.28,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
62ZMW68jGUWPyFKvVaEJvoorRXvuLVhcEHNanaz6B2XkFqamM3Rhvfmq8YRnGdZS19WADudnRoEtSYuhmn6AYPhQ,1743561639,2025-04-02T02:40:39.000Z,TOKEN SWAP,9YbXS3JjQnkAU2NLs1iH1bqqEZruHUZD75jDZBQiZ1LF,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,569313985397,6,So11111111111111111111111111111111111111112,119580694891,9,14873.45,DF1ow3DqMj3HvTj8i8J9yM2hE9hCrLLXpdbaKZu4ZPnz,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
